,personid,quitjob,age,costofcommute,children,expgroup,men,married,perform10,perform11,perform10_expgroup,perform11_expgroup
162,38052,1.0,18.0,10.0,no,1,0.0,0.0,0.05756535,-0.16999747,0.05756535,-0.16999747
163,38070,0.0,18.0,10.0,no,1,0.0,0.0,-0.17907135,-0.8548627,-0.17907135,-0.8548627
164,38074,1.0,27.0,12.0,yes,0,0.0,1.0,0.20807445,-0.5241298,0.0,0.0
165,38290,0.0,21.0,6.0,no,1,0.0,0.0,-0.087636046,0.3192652,-0.087636046,0.3192652
166,38552,1.0,23.0,4.0,no,0,1.0,0.0,-0.4631035,-1.0232302,0.0,0.0
167,38566,0.0,22.0,30.0,no,1,0.0,1.0,0.22880225,0.62754506,0.22880225,0.62754506
168,38580,0.0,22.0,4.0,no,1,0.0,0.0,0.82021827,0.8525897,0.82021827,0.8525897
169,38712,0.0,22.0,4.0,no,1,0.0,0.0,0.104363516,0.33910608,0.104363516,0.33910608
170,38842,1.0,19.0,10.0,no,0,1.0,0.0,-0.21442062,-2.0569022,0.0,0.0
171,38862,1.0,19.0,0.0,no,0,0.0,0.0,-0.25767687,-0.54349303,0.0,0.0
172,38878,0.0,25.0,12.0,no,1,0.0,0.0,0.6349496,0.8149602,0.6349496,0.8149602
173,38898,0.0,22.0,0.0,no,1,0.0,0.0,0.1211164,0.37097684,0.1211164,0.37097684
174,39096,1.0,25.0,12.0,no,1,1.0,0.0,0.23334491,0.0063857073,0.23334491,0.0063857073
175,39144,0.0,18.0,4.0,no,0,0.0,0.0,0.20614433,0.10961834,0.0,0.0
176,39164,0.0,19.0,8.0,no,0,1.0,0.0,-0.21772946,-0.046197828,0.0,0.0
177,39458,0.0,21.0,10.0,no,0,1.0,0.0,-0.31212568,-0.082317956,0.0,0.0
178,39466,0.0,19.0,6.0,no,0,0.0,0.0,-0.15133192,-0.2186773,0.0,0.0
179,39478,1.0,22.0,10.0,no,0,0.0,0.0,0.15249737,-0.4438336,0.0,0.0
180,39490,0.0,23.0,10.0,no,0,1.0,0.0,0.5906688,0.3536315,0.0,0.0
181,39502,1.0,19.0,30.0,no,0,0.0,0.0,-0.35917324,-0.90457124,0.0,0.0
182,39512,0.0,19.0,10.0,no,1,0.0,0.0,0.2523199,0.16850334,0.2523199,0.16850334
183,39530,1.0,21.0,24.0,no,1,0.0,0.0,-0.12125172,-1.340626,-0.12125172,-1.340626
184,39548,0.0,26.0,8.0,no,1,0.0,0.0,-0.09741825,-0.0030079246,-0.09741825,-0.0030079246
185,39634,0.0,20.0,0.0,no,1,0.0,0.0,1.5389206,1.2662807,1.5389206,1.2662807
186,39748,0.0,22.0,0.0,yes,0,0.0,1.0,0.41374972,0.22876363,0.0,0.0
187,39942,1.0,28.0,55.0,yes,1,1.0,1.0,-0.64123964,0.072946146,-0.64123964,0.072946146
188,39990,0.0,24.0,5.0,no,1,1.0,0.0,-0.29207823,-0.3789181,-0.29207823,-0.3789181
189,40008,1.0,20.0,10.0,no,0,1.0,0.0,0.738152,-0.08003188,0.0,0.0
190,40034,1.0,19.0,10.0,no,0,0.0,0.0,0.09252572,-0.24690875,0.0,0.0
191,40062,1.0,23.0,12.0,no,1,0.0,1.0,0.24164101,-0.15206318,0.24164101,-0.15206318
192,40076,1.0,24.0,10.0,no,0,1.0,0.0,-0.34249765,-1.5178951,0.0,0.0
193,40162,0.0,21.0,6.0,no,0,0.0,0.0,0.14284535,-0.07942255,0.0,0.0
194,40164,0.0,22.0,10.0,no,1,0.0,0.0,0.5695838,-0.2232681,0.5695838,-0.2232681
195,40174,1.0,28.0,2.0,yes,0,1.0,1.0,0.07169733,-1.2408433,0.0,0.0
196,40192,0.0,23.0,12.0,no,1,1.0,0.0,0.24561636,0.2479427,0.24561636,0.2479427
197,40316,0.0,25.0,4.0,no,1,0.0,0.0,0.22923808,0.42377633,0.22923808,0.42377633
198,40320,0.0,25.0,5.0,yes,1,0.0,1.0,-1.1420957,-1.1744028,-1.1420957,-1.1744028
199,40322,0.0,24.0,2.0,no,1,0.0,0.0,0.14893954,0.0145940585,0.14893954,0.0145940585
200,40328,0.0,22.0,5.0,no,1,1.0,0.0,0.94877285,0.09813746,0.94877285,0.09813746
201,40334,1.0,23.0,20.0,no,0,0.0,0.0,0.2764667,0.6620027,0.0,0.0
202,40336,0.0,25.0,6.0,no,0,1.0,0.0,-0.5590729,-0.8288269,0.0,0.0
203,40346,1.0,22.0,4.5454545,no,0,0.0,0.0,-0.37161943,-1.4132386,0.0,0.0
204,40444,0.0,34.0,4.0,yes,1,1.0,1.0,0.66815186,0.6990552,0.66815186,0.6990552
205,40456,0.0,23.0,12.0,no,0,1.0,0.0,0.26799712,0.15323302,0.0,0.0
206,40472,0.0,25.0,4.0,no,1,0.0,0.0,0.48244968,0.70503813,0.48244968,0.70503813
207,40490,0.0,21.0,10.0,no,1,1.0,0.0,-0.094636105,-0.122932225,-0.094636105,-0.122932225
208,41286,0.0,23.0,10.0,no,1,1.0,0.0,-0.02529658,-0.24038805,-0.02529658,-0.24038805
209,41318,0.0,22.0,10.0,no,1,0.0,0.0,-1.2596043,-0.013943321,-1.2596043,-0.013943321
210,41320,1.0,22.0,10.0,no,1,1.0,0.0,-0.31906465,-0.5338056,-0.31906465,-0.5338056
211,41332,1.0,22.0,6.0,no,0,1.0,0.0,-0.39211935,-1.6269416,0.0,0.0
212,41818,0.0,23.0,0.0,no,1,0.0,0.0,-0.121341206,-0.36633164,-0.121341206,-0.36633164
213,42096,1.0,23.0,8.0,no,0,1.0,0.0,-0.36624923,-1.2711698,0.0,0.0
214,42104,1.0,21.0,0.0,no,1,0.0,0.0,-0.33475247,-0.48672494,-0.33475247,-0.48672494
215,42108,0.0,23.0,12.0,no,1,1.0,0.0,0.33541527,0.4332936,0.33541527,0.4332936
216,42140,0.0,25.0,15.0,yes,0,1.0,1.0,-0.07073494,1.0102578,0.0,0.0
217,42146,0.0,21.0,4.0,no,0,1.0,0.0,-0.04130923,0.042883005,0.0,0.0
218,42152,0.0,25.0,20.0,no,0,1.0,0.0,0.17874916,0.10926608,0.0,0.0
219,42308,0.0,23.0,12.0,no,1,0.0,1.0,-0.11561139,-0.85732496,-0.11561139,-0.85732496
220,42592,0.0,23.0,8.0,no,1,0.0,0.0,0.042018514,-0.20933336,0.042018514,-0.20933336
221,42618,1.0,22.0,2.0,no,1,1.0,0.0,-0.95753944,-1.2092266,-0.95753944,-1.2092266
222,42624,0.0,23.0,10.0,no,1,0.0,0.0,0.32374704,0.70442516,0.32374704,0.70442516
223,42628,0.0,22.0,10.0,no,1,1.0,0.0,-0.37955287,-0.041888136,-0.37955287,-0.041888136
224,42632,0.0,21.0,12.0,no,0,0.0,0.0,0.122516744,-0.19964962,0.0,0.0
225,42634,1.0,20.0,0.0,no,0,1.0,0.0,-1.0077969,-0.83139205,0.0,0.0
226,42682,1.0,22.0,16.0,no,0,0.0,1.0,0.3802322,-1.7297441,0.0,0.0
227,43258,0.0,22.0,8.0,no,0,1.0,0.0,-0.8111794,-0.6539687,0.0,0.0
228,43264,0.0,22.0,12.0,no,1,1.0,0.0,-1.1921372,-0.73621076,-1.1921372,-0.73621076
229,43270,0.0,25.0,16.0,no,1,0.0,0.0,-0.9864637,-1.0629349,-0.9864637,-1.0629349
230,43278,0.0,23.0,10.0,no,1,0.0,0.0,-0.3989113,-0.10568639,-0.3989113,-0.10568639
231,43286,0.0,20.0,5.0,no,1,0.0,0.0,-0.06607532,-0.07866293,-0.06607532,-0.07866293
