,personid,prior_experience,age,tenure,basewage,bonus,grosswage,ageyoungestchild,costofcommute,children,rental,bedroom,expgroup,men,married,second_technical,high_school,tertiary_technical,university,internet,type
109,36314,0.0,23.0,19.0,1500.0,1032.2222,2728.0767,0,4.0,no,no,yes,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
110,4448,0.0,35.0,92.0,1750.0,2153.3333,4269.2964,11,10.0,yes,no,yes,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,notification group (airfare)
111,15444,0.0,27.0,49.0,1650.0,1208.6666,3271.78,0,11.818182,no,yes,yes,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,phone call group
112,29248,36.0,27.0,26.0,1550.0,932.8889,2749.6323,1,10.0,yes,no,yes,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,pre-order group (hotel)
113,32804,0.0,23.0,23.0,1533.3334,661.44446,2405.5623,0,8.0,no,no,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
114,21604,12.0,24.0,37.0,1600.0,1118.2222,3038.0278,0,16.0,no,no,yes,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,notification group (airfare)
115,40174,0.0,28.0,8.0,1450.0,740.2222,2406.5823,1,2.0,yes,no,yes,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,phone call group
116,14374,0.0,28.0,50.0,1650.0,1562.0,3362.3633,0,10.0,no,no,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,notification group (airfare)
117,23742,0.0,21.0,35.0,1683.3334,803.2222,2544.8833,0,8.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
118,11868,60.0,30.0,57.0,1650.0,918.3333,2767.9133,0,10.0,no,no,yes,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,post-order group (hotel)
119,24608,120.0,34.0,34.0,1650.0,1399.2222,3828.9922,13,3.0,yes,no,yes,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,phone call group
120,30308,0.0,21.0,25.0,1583.3334,1276.7778,3713.081,0,0.0,no,yes,no,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,night shift (hotel)
121,22284,0.0,21.0,36.0,1600.0,988.2222,3478.6633,1,0.0,yes,yes,yes,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,phone call group
122,40316,30.0,25.0,8.0,1450.0,808.6667,2529.3367,0,4.0,no,yes,yes,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
123,44408,40.0,22.0,2.5,1500.0,138.5,1643.13,0,10.0,no,no,yes,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
